,index,avg,name
702,2007-04,137227.8339,MO
703,2007-05,136992.9717,MO
704,2007-06,136718.8375,MO
705,2007-07,136533.3039,MO
706,2007-08,136446.8254,MO
707,2007-09,136483.5026,MO
708,2007-10,136518.9753,MO
709,2007-11,136366.7619,MO
710,2007-12,136213.388,MO
711,2008-01,129475.706,MO
712,2008-02,129056.1348,MO
713,2008-03,128754.6712,MO
714,2008-04,128114.9727,MO
715,2008-05,127543.5539,MO
716,2008-06,127119.5921,MO
717,2008-07,126639.1417,MO
718,2008-08,126317.2398,MO
719,2008-09,125981.6639,MO
720,2008-10,125846.3342,MO
721,2008-11,125585.6467,MO
722,2008-12,125265.8913,MO
723,2009-01,124667.527,MO
724,2009-02,124190.5664,MO
725,2009-03,123859.7871,MO
726,2009-04,123375.5581,MO
727,2009-05,122791.3129,MO
728,2009-06,121996.7101,MO
729,2009-07,121330.2261,MO
730,2009-08,120524.9921,MO
731,2009-09,119870.8852,MO
732,2009-10,119209.1879,MO
733,2009-11,119019.6176,MO
734,2009-12,118987.0802,MO
735,2010-01,118878.883,MO
736,2010-02,118596.6299,MO
737,2010-03,118506.1457,MO
738,2010-04,118550.3675,MO
739,2010-05,118541.5866,MO
740,2010-06,118337.19,MO
741,2010-07,118012.3861,MO
742,2010-08,117655.483,MO
743,2010-09,117111.6436,MO
744,2010-10,116321.5922,MO
745,2010-11,115786.4643,MO
746,2010-12,115174.5201,MO
747,2011-01,114542.9419,MO
748,2011-02,114007.8338,MO
749,2011-03,113451.7255,MO
750,2011-04,112838.2574,MO
751,2011-05,112486.1248,MO
752,2011-06,112218.3501,MO
753,2011-07,112141.2352,MO
754,2011-08,111990.7317,MO
755,2011-09,111965.3736,MO
756,2011-10,111722.3492,MO
757,2011-11,111577.7381,MO
758,2011-12,111376.7484,MO
759,2012-01,110840.053,MO
760,2012-02,110677.6931,MO
761,2012-03,110750.3434,MO
762,2012-04,110919.5836,MO
763,2012-05,111094.9497,MO
764,2012-06,111179.9497,MO
765,2012-07,111216.6847,MO
766,2012-08,111138.567,MO
767,2012-09,111251.5319,MO
768,2012-10,111275.0225,MO
769,2012-11,111416.9737,MO
770,2012-12,111567.8999,MO
771,2013-01,111408.1332,MO
772,2013-02,111660.6359,MO
773,2013-03,111844.4294,MO
774,2013-04,112112.3529,MO
775,2013-05,112336.0257,MO
776,2013-06,112664.9512,MO
777,2013-07,112888.6337,MO
778,2013-08,112983.7305,MO
779,2013-09,113105.7488,MO
780,2013-10,113200.4044,MO
781,2013-11,113271.4046,MO
782,2013-12,113513.2682,MO
783,2014-01,113091.3227,MO
784,2014-02,113370.4929,MO
785,2014-03,113681.2391,MO
786,2014-04,114062.4651,MO
787,2014-05,114548.7846,MO
788,2014-06,115034.4036,MO
789,2014-07,115277.1368,MO
790,2014-08,115609.4363,MO
791,2014-09,115872.046,MO
792,2014-10,116122.5743,MO
793,2014-11,116228.3847,MO
794,2014-12,116441.1247,MO
795,2015-01,116393.9679,MO
796,2015-02,116576.7305,MO
797,2015-03,116880.1972,MO
798,2015-04,117398.6204,MO
799,2015-05,117826.5052,MO
800,2015-06,118339.5613,MO
801,2015-07,118685.532,MO
802,2015-08,119051.5103,MO
803,2015-09,119417.8764,MO
804,2015-10,119732.54,MO
805,2015-11,120098.9269,MO
806,2015-12,120523.6073,MO
807,2016-01,120635.5635,MO
808,2016-02,120793.5418,MO
809,2016-03,121157.8047,MO
810,2016-04,121609.7689,MO
811,2016-05,122085.277,MO
812,2016-06,122686.3289,MO
813,2016-07,122996.5934,MO
814,2016-08,123309.6792,MO
815,2016-09,123725.0518,MO
816,2016-10,123935.9133,MO
817,2016-11,124368.7807,MO
818,2016-12,124821.9025,MO
819,2017-01,125297.2347,MO
820,2017-02,125945.095,MO
821,2017-03,126467.0499,MO
822,2017-04,127193.4165,MO
823,2017-05,127419.243,MO
824,2017-06,127841.8571,MO
825,2017-07,128290.3738,MO
826,2017-08,128662.1874,MO
827,2017-09,129152.7575,MO
828,2017-10,129644.8204,MO
829,2017-11,130211.7097,MO
830,2017-12,130777.5519,MO
831,2018-01,131342.9703,MO
832,2018-02,131936.214,MO
833,2018-03,132629.5339,MO
834,2018-04,133463.4576,MO
835,2018-05,134320.875,MO
836,2018-06,135132.2998,MO
837,2018-07,135854.9396,MO
838,2018-08,136446.7754,MO
839,2018-09,136825.1409,MO
840,2018-10,137177.9778,MO
841,2018-11,137634.1801,MO
842,2018-12,138228.91,MO
843,2019-01,138840.3655,MO
844,2019-02,139455.8845,MO
845,2019-03,140027.2087,MO
846,2019-04,140661.7458,MO
847,2019-05,141295.2648,MO
848,2019-06,141870.1271,MO
849,2019-07,142326.0879,MO
850,2019-08,142641.3782,MO
851,2019-09,143012.964,MO
852,2019-10,143357.5466,MO
853,2019-11,143641.2331,MO
854,2019-12,143934.803,MO
855,1996-04,160709.529,WA
856,1996-05,157389.0542,WA
857,1996-06,157669.5085,WA
858,1996-07,158169.878,WA
859,1996-08,158657.078,WA
860,1996-09,159272.1322,WA
861,1996-10,159694.5946,WA
862,1996-11,160481.0338,WA
863,1996-12,160899.4186,WA
864,1997-01,161708.1761,WA
865,1997-02,162325.1296,WA
866,1997-03,162910.2193,WA
867,1997-04,163443.1728,WA
868,1997-05,164263.711,WA
869,1997-06,164877.309,WA
870,1997-07,164925.9967,WA
871,1997-08,165015.3453,WA
872,1997-09,165678.8701,WA
873,1997-10,166598.0552,WA
874,1997-11,167607.2565,WA
875,1997-12,168584.2305,WA
876,1998-01,169871.6331,WA
877,1998-02,171094.026,WA
878,1998-03,171671.5659,WA
